valid,1

"SPEC 2021 Tiny Result"

"Full Results Table"

Benchmark,"Base # Ranks ","Base Threads per Rank","Base Pmodel","Base Run Time","Base Ratio","Base Selected","Base Status","Peak # Ranks ","Peak Threads per Rank","Peak Pmodel","Peak Run Time","Peak Ratio","Peak Selected","Peak Status",Description
505.lbm_t,256,1,MPI,378.794016,5.939904,0,S,,,,,,,,"ref iteration #1"
505.lbm_t,256,1,MPI,381.090284,5.904113,1,S,,,,,,,,"ref iteration #2"
513.soma_t,256,1,MPI,513.190659,7.209796,0,S,,,,,,,,"ref iteration #1"
513.soma_t,256,1,MPI,513.838777,7.200702,1,S,,,,,,,,"ref iteration #2"
518.tealeaf_t,256,1,MPI,348.31843,4.737045,1,S,,,,,,,,"ref iteration #1"
518.tealeaf_t,256,1,MPI,341.240466,4.8353,0,S,,,,,,,,"ref iteration #2"
519.clvleaf_t,256,1,MPI,257.326735,6.412082,1,S,,,,,,,,"ref iteration #1"
519.clvleaf_t,256,1,MPI,256.369378,6.436026,0,S,,,,,,,,"ref iteration #2"
521.miniswp_t,256,1,MPI,457.745456,3.495392,1,S,,,,,,,,"ref iteration #1"
521.miniswp_t,256,1,MPI,457.499425,3.497272,0,S,,,,,,,,"ref iteration #2"
528.pot3d_t,256,1,MPI,356.447754,5.961603,0,S,,,,,,,,"ref iteration #1"
528.pot3d_t,256,1,MPI,359.100501,5.917563,1,S,,,,,,,,"ref iteration #2"
532.sph_exa_t,256,1,MPI,434.875171,4.484045,1,S,,,,,,,,"ref iteration #1"
532.sph_exa_t,256,1,MPI,433.496067,4.498311,0,S,,,,,,,,"ref iteration #2"
534.hpgmgfv_t,256,1,MPI,279.895448,4.197996,0,S,,,,,,,,"ref iteration #1"
534.hpgmgfv_t,256,1,MPI,285.930159,4.109395,1,S,,,,,,,,"ref iteration #2"
535.weather_t,256,1,MPI,323.099693,9.981439,1,S,,,,,,,,"ref iteration #1"
535.weather_t,256,1,MPI,322.083407,10.012934,0,S,,,,,,,,"ref iteration #2"

"Selected Results Table"

Benchmark,"Base # Ranks ","Base Threads per Rank","Base Pmodel","Base Run Time","Base Ratio","Base Selected","Base Status","Peak # Ranks ","Peak Threads per Rank","Peak Pmodel","Peak Run Time","Peak Ratio","Peak Selected","Peak Status",Description
505.lbm_t,256,1,MPI,381.090284,5.904113,1,S,,,,,NR,"SelectedIteration (base #2; peak NR)"
513.soma_t,256,1,MPI,513.838777,7.200702,1,S,,,,,NR,"SelectedIteration (base #2; peak NR)"
518.tealeaf_t,256,1,MPI,348.31843,4.737045,1,S,,,,,NR,"SelectedIteration (base #1; peak NR)"
519.clvleaf_t,256,1,MPI,257.326735,6.412082,1,S,,,,,NR,"SelectedIteration (base #1; peak NR)"
521.miniswp_t,256,1,MPI,457.745456,3.495392,1,S,,,,,NR,"SelectedIteration (base #1; peak NR)"
528.pot3d_t,256,1,MPI,359.100501,5.917563,1,S,,,,,NR,"SelectedIteration (base #2; peak NR)"
532.sph_exa_t,256,1,MPI,434.875171,4.484045,1,S,,,,,NR,"SelectedIteration (base #1; peak NR)"
534.hpgmgfv_t,256,1,MPI,285.930159,4.109395,1,S,,,,,NR,"SelectedIteration (base #2; peak NR)"
535.weather_t,256,1,MPI,323.099693,9.981439,1,S,,,,,NR,"SelectedIteration (base #1; peak NR)"

SPEChpc2021_tny_base,5.539614,,,,5.539614
SPEChpc2021_tny_peak,"Not Run",,,,,,,,,,,"Not Run"

"Run number:",001
"runhpc command:","/home/br-spollard/SPEChpc/bin/harness/runhpc --rebuild --config=hpe_cpe_arm_4.cfg --ranks=256 --reportable --output_format=all --output_root=/home/br-spollard/benchmarks/tiny/tiny_arm_256 --iterations=2 tiny"
"output root:",/home/br-spollard/benchmarks/tiny/tiny_arm_256

"System Vendor:",Cray
"System Name:","Isambard 2: XC50 (ThunderX2)"
"Date tested:",Jul-2022
"hpc2021 License:",?
"Test sponsor:","University of Bristol"
"Tested by:","University of Bristol"
"Hardware avail:",May-2018
"Software avail:",Mar-2020


"Node Description: ThunderX2"

HARDWARE

"Number of nodes",4
"Uses of the node",Compute
Vendor,N/A
Model,N/A
"CPU Name","Marvell ThunderX2 CN9980"
"CPU(s) orderable",N/A
"Chips enabled",2
"Cores enabled",64
"Cores per chip",32
"Threads per core",4
"CPU Characteristics","Permanent turbo to 2.5 GHz"
"CPU MHz",2100
"Primary Cache","32 KB I + 32 KB D on chip per core"
"Secondary Cache","256 KB I+D on chip per core"
"L3 Cache","32 MB I+D on chip per chip"
,"0.5 MB shared / 64 cores"
"Other Cache",None
Memory,"256 GB (8 x 32 GB)"
"Disk Subsystem",--
"Other Hardware",None
"Accel Count",N/A
"Accel Model",N/A
"Accel Vendor",N/A
"Accel Type",N/A
"Accel Connection",N/A
"Accel ECC enabled",N/A
"Accel Description",N/A
Adapter,None
"Number of Adapters",0
"Slot Type",None
"Data Rate",None
"Ports Used",0
"Interconnect Type",None

SOFTWARE

"Accelerator Driver",--
Adapter,None
"Adapter Driver",None
"Adapter Firmware",None
"Operating System","SUSE Linux Enterprise Server 15 SP1"
,"Linux 4.12.14-197.7_5.0.99-cray_ari_s"
"Local File System",xfs
"Shared File System",None
"System State","Multi-user, run level 3"
"Other Software",None


"Interconnect Description: Cray Aries"

HARDWARE

Vendor,Cray
Model,N/A
"Switch Model",N/A
,N/A
"Number of Switches",N/A
"Number of Ports",N/A
"Data Rate","14 Gb/s"
Firmware,N/A
Topology,Dragonfly
"Primary Use","MPI Traffic"

SOFTWARE

,--


"BENCHMARK DETAILS"

"Type of System","Homogenous Cluster"
"Compute Nodes Used",4
"Total Chips",8
"Total Cores",256
"Total Threads",1024
"Total Memory","1 TB"
"Max. Peak Threads",--
Compiler,"HPE Cray Programming Environment (CPE),"
,"C/C++/Fortran: Arm version 20.0 (based on LLVM"
,9.0.1)
"MPI Library","HPE Cray Programming Environment (CPE),"
,"Cray-mvapich2 Version 2.3.6"
"Other MPI Info",--
"Other Software",--
"Base Parallel Model",MPI
"Base Ranks Run",256
"Base Threads Run",1
"Peak Parallel Models","Not Run"
"Minimum Peak Ranks",--
"Maximum Peak Ranks",--
"Max. Peak Threads",--
"Min. Peak Threads",--

"Submit Notes"

"The config file option 'submit' was used."

"Compiler Version Notes"

==============================================================================
" CC  505.lbm_t(base) 513.soma_t(base) 518.tealeaf_t(base) 521.miniswp_t(base)"
"      534.hpgmgfv_t(base)"
------------------------------------------------------------------------------
"Arm C/C++/Fortran Compiler version 20.0 (build number 51) (based on LLVM"
"  9.0.1)"
"Target: aarch64-unknown-linux-gnu"
"Thread model: posix"
InstalledDir:
"  /opt/allinea/20.0.0.0/arm-linux-compiler-20.0_Generic-AArch64_SUSE-12_aarch64-linux/bin"
------------------------------------------------------------------------------

==============================================================================
" CXXC 532.sph_exa_t(base)
"
------------------------------------------------------------------------------
"Arm C/C++/Fortran Compiler version 20.0 (build number 51) (based on LLVM"
"  9.0.1)"
"Target: aarch64-unknown-linux-gnu"
"Thread model: posix"
InstalledDir:
"  /opt/allinea/20.0.0.0/arm-linux-compiler-20.0_Generic-AArch64_SUSE-12_aarch64-linux/bin"
------------------------------------------------------------------------------

==============================================================================
" FC  519.clvleaf_t(base) 528.pot3d_t(base) 535.weather_t(base)
"
------------------------------------------------------------------------------
"Arm C/C++/Fortran Compiler version 20.0 (build number 51) (based on LLVM"
"  9.0.1)"
"Target: aarch64-unknown-linux-gnu"
"Thread model: posix"
InstalledDir:
"  /opt/allinea/20.0.0.0/arm-linux-compiler-20.0_Generic-AArch64_SUSE-12_aarch64-linux/bin"
------------------------------------------------------------------------------

"Base Runtime Environment"
505.lbm_t," No flags used"
513.soma_t," No flags used"
518.tealeaf_t," No flags used"
519.clvleaf_t," No flags used"
521.miniswp_t," No flags used"
528.pot3d_t," No flags used"
532.sph_exa_t," No flags used"
534.hpgmgfv_t," No flags used"
535.weather_t," No flags used"

"Base Compiler Invocation"
505.lbm_t," cc"," cc"
513.soma_t," cc"," cc"
518.tealeaf_t," cc"," cc"
519.clvleaf_t," ftn"," ftn"
521.miniswp_t," cc"," cc"
528.pot3d_t," ftn"," ftn"
532.sph_exa_t," CC"," CC"
534.hpgmgfv_t," cc"," cc"
535.weather_t," ftn"," ftn"

"Base Portability Flags"
505.lbm_t
513.soma_t
518.tealeaf_t
519.clvleaf_t
521.miniswp_t
528.pot3d_t
532.sph_exa_t
534.hpgmgfv_t
535.weather_t

"Base Optimization Flags"
505.lbm_t," -Ofast"
513.soma_t," -Ofast"
518.tealeaf_t," -Ofast"
519.clvleaf_t," -Ofast"
521.miniswp_t," -Ofast"
528.pot3d_t," -Ofast"
532.sph_exa_t," -Ofast"
534.hpgmgfv_t," -Ofast"
535.weather_t," -Ofast"

"Base Other Flags"
505.lbm_t," No flags used"
513.soma_t," No flags used"
518.tealeaf_t," No flags used"
519.clvleaf_t," No flags used"
521.miniswp_t," No flags used"
528.pot3d_t," No flags used"
532.sph_exa_t," No flags used"
534.hpgmgfv_t," No flags used"
535.weather_t," No flags used"

"Base Forbidden Flags"
505.lbm_t
513.soma_t
518.tealeaf_t
519.clvleaf_t
521.miniswp_t
528.pot3d_t
532.sph_exa_t
534.hpgmgfv_t
535.weather_t

"Base Unknown Flags"
505.lbm_t
513.soma_t
518.tealeaf_t
519.clvleaf_t
521.miniswp_t
528.pot3d_t
532.sph_exa_t
534.hpgmgfv_t
535.weather_t

"Peak Runtime Environment"
505.lbm_t
513.soma_t
518.tealeaf_t
519.clvleaf_t
521.miniswp_t
528.pot3d_t
532.sph_exa_t
534.hpgmgfv_t
535.weather_t

"Peak Compiler Invocation"
505.lbm_t
513.soma_t
518.tealeaf_t
519.clvleaf_t
521.miniswp_t
528.pot3d_t
532.sph_exa_t
534.hpgmgfv_t
535.weather_t

