valid,1

"SPEC 2021 Tiny Result"

"Full Results Table"

Benchmark,"Base # Ranks ","Base Threads per Rank","Base Pmodel","Base Run Time","Base Ratio","Base Selected","Base Status","Peak # Ranks ","Peak Threads per Rank","Peak Pmodel","Peak Run Time","Peak Ratio","Peak Selected","Peak Status",Description
505.lbm_t,8,64,OMP,211.561369,10.635212,0,S,,,,,,,,"ref iteration #1"
505.lbm_t,8,64,OMP,213.204194,10.553263,1,S,,,,,,,,"ref iteration #2"
513.soma_t,8,64,OMP,265.837028,13.918302,1,S,,,,,,,,"ref iteration #1"
513.soma_t,8,64,OMP,265.723552,13.924246,0,S,,,,,,,,"ref iteration #2"
518.tealeaf_t,8,64,OMP,272.145977,6.062923,1,S,,,,,,,,"ref iteration #1"
518.tealeaf_t,8,64,OMP,272.030133,6.065505,0,S,,,,,,,,"ref iteration #2"
519.clvleaf_t,8,64,OMP,191.73662,8.605555,1,S,,,,,,,,"ref iteration #1"
519.clvleaf_t,8,64,OMP,191.547825,8.614037,0,S,,,,,,,,"ref iteration #2"
521.miniswp_t,8,64,OMP,158.644915,10.085416,0,S,,,,,,,,"ref iteration #1"
521.miniswp_t,8,64,OMP,158.976897,10.064355,1,S,,,,,,,,"ref iteration #2"
528.pot3d_t,8,64,OMP,394.38312,5.388162,0,S,,,,,,,,"ref iteration #1"
528.pot3d_t,8,64,OMP,394.7992,5.382483,1,S,,,,,,,,"ref iteration #2"
532.sph_exa_t,8,64,OMP,270.626577,7.205501,0,S,,,,,,,,"ref iteration #1"
532.sph_exa_t,8,64,OMP,270.997069,7.19565,1,S,,,,,,,,"ref iteration #2"
534.hpgmgfv_t,8,64,OMP,427.997779,2.745341,0,S,,,,,,,,"ref iteration #1"
534.hpgmgfv_t,8,64,OMP,430.981524,2.726335,1,S,,,,,,,,"ref iteration #2"
535.weather_t,8,64,OMP,347.071903,9.292023,0,S,,,,,,,,"ref iteration #1"
535.weather_t,8,64,OMP,347.767362,9.273441,1,S,,,,,,,,"ref iteration #2"

"Selected Results Table"

Benchmark,"Base # Ranks ","Base Threads per Rank","Base Pmodel","Base Run Time","Base Ratio","Base Selected","Base Status","Peak # Ranks ","Peak Threads per Rank","Peak Pmodel","Peak Run Time","Peak Ratio","Peak Selected","Peak Status",Description
505.lbm_t,8,64,OMP,213.204194,10.553263,1,S,,,,,NR,"SelectedIteration (base #2; peak NR)"
513.soma_t,8,64,OMP,265.837028,13.918302,1,S,,,,,NR,"SelectedIteration (base #1; peak NR)"
518.tealeaf_t,8,64,OMP,272.145977,6.062923,1,S,,,,,NR,"SelectedIteration (base #1; peak NR)"
